team name,salary,playoffs,finals
Golden State,178980766 ,1,1
Brooklyn,174811922 ,1,0
LA Clippers,168378382 ,0,0
LA Lakers,164409293 ,0,0
Milwaukee,160875421 ,1,0
Utah,149760719 ,1,0
Philadelphia,148922969 ,1,0
Miami,140840240 ,1,1
Indiana,138181486 ,0,0
Denver,137963926 ,1,0
Minnesota,137432702 ,1,0
Boston,136557646 ,1,1
Phoenix,136476474 ,1,0
Cleveland,136385911 ,0,0
Chicago,136083814 ,1,0
New Orleans,135793968 ,1,0
Atlanta,135166020 ,1,0
Toronto,134896484 ,1,0
Houston,132267085 ,0,0
Detroit,131120355 ,0,0
Sacramento,130457848 ,0,0
Washington,128019790 ,0,0
San Antonio,127655401 ,0,0
Orlando,126786646 ,0,0
Dallas,126696965 ,1,1
Portland,124788473 ,0,0
Charlotte,122139566 ,0,0
New York,120644081 ,0,0
Memphis,117284457 ,1,0
Oklahoma City,82022873 ,0,0
